,OS1,OS2,OS3,OT1,OT2,OT3,YS1,YS2,YS3,YT1,YT2,YT3
Gnai3,1509,1627,1513,2064,1754,1529,1287,1830,1531,1405,1639,981
Pbsn,0,0,0,0,0,0,0,0,0,0,0,0
Cdc45,59,84,69,100,82,58,50,74,64,52,56,47
H19,13895,12863,6456,15812,15130,13693,15162,19481,19214,17381,19788,12128
Scml2,11,11,11,19,17,10,23,33,21,13,29,15
Apoh,3,4,1,2,1,3,2,2,3,3,1,1
Narf,610,710,583,671,691,581,497,739,579,471,565,394
Cav2,546,727,560,684,657,623,412,698,481,469,556,330
Klf6,1346,1370,1722,2054,1867,1296,1114,1983,1415,910,1418,814
Scmh1,731,834,724,912,731,764,668,934,731,671,770,494
Cox5a,377,436,418,449,464,354,335,431,370,292,386,234
Tbx2,500,738,478,664,628,668,487,650,463,426,523,376
Tbx4,4,1,3,4,6,5,5,8,2,5,5,6
Zfy2,0,0,0,0,0,0,0,0,0,0,0,0
Ngfr,246,337,238,209,269,229,303,278,276,267,216,154
Wnt3,11,21,12,20,7,18,7,15,8,6,7,6
Wnt9a,553,576,895,532,652,510,660,954,654,577,639,513
Fer,301,334,245,392,360,280,273,374,283,255,324,191
Xpo6,1147,1459,1265,1469,1306,1230,1017,1312,1118,982,1059,705
Tfe3,844,937,845,1156,966,801,800,1093,882,806,914,599
Axin2,270,372,416,333,310,283,277,290,274,209,277,201
Brat1,483,549,503,668,521,530,471,625,510,411,553,343
Gna12,1233,1625,1284,1869,1663,1279,1262,1648,1453,1296,1457,936
Slc22a18,236,308,217,335,292,269,160,236,190,160,181,135
Itgb2l,47,131,81,217,127,64,50,17,18,68,15,12
Igsf5,6,5,6,4,3,6,2,2,3,8,1,2
Pih1d2,41,38,38,25,24,21,39,25,34,21,22,19
Dlat,871,985,841,1030,934,778,765,1010,888,683,802,562
Sdhd,1031,1166,1022,1300,1133,980,841,1036,968,827,973,606
Fgf23,13,10,5,12,10,3,9,3,0,1,6,2
Fgf6,0,1,0,0,0,0,0,0,0,0,0,2
Ccnd2,1365,1600,955,1407,1467,1176,1818,2577,2313,1923,2153,1298
Gpr107,1234,1525,1377,1695,1474,1223,1048,1506,1186,1083,1279,816
Nalcn,306,329,213,381,334,401,203,343,228,201,265,161
Btbd17,12,10,6,8,12,8,4,19,10,7,8,9
Slfn4,83,174,141,243,378,101,99,52,56,123,73,43
Th,42,35,12,52,36,28,36,40,36,21,40,18
Ins2,27,32,5,5,11,3,38,22,21,21,10,21
Scnn1g,1,5,1,0,1,0,1,0,0,0,0,0
Drp2,359,499,405,467,537,275,246,634,361,315,433,251
Tspan32,72,116,89,196,119,115,48,71,65,43,53,33
Lhx2,23,27,20,32,27,21,29,14,9,13,32,10
Clec2g,4,3,5,14,5,2,2,2,3,1,0,0
Gmpr,378,475,398,452,405,402,301,369,302,250,343,191
Glra1,2,0,0,1,0,0,0,0,0,0,2,1
Mid2,330,397,330,471,378,411,263,421,316,288,368,185
Trim25,898,1103,836,1237,1038,928,668,1033,793,598,743,398
Dgke,618,722,520,774,679,768,408,629,478,417,534,374
Scpep1,1651,1897,1993,2414,1958,1720,1495,2100,1741,1477,1919,1089
Mnt,678,864,818,913,755,724,623,850,672,647,774,533
Itgb2,774,1165,1217,1512,1180,804,613,704,528,660,669,419
Hddc2,129,160,134,196,177,158,110,130,92,105,107,67
Tpd52l1,167,161,116,104,95,69,141,126,142,106,62,88
Pemt,41,39,36,46,31,40,24,26,23,28,30,20
Cdh1,707,1212,882,1194,945,973,439,955,433,408,424,329
Cdh4,43,62,55,47,43,48,34,47,35,29,36,22
Ckmt1,862,905,704,1135,1007,850,1135,1299,1092,904,1306,703
Bcl6b,258,197,166,254,212,175,219,370,310,212,255,106
Clec10a,563,757,573,1455,795,677,573,749,624,538,669,438
Alox12,160,225,208,256,246,211,114,146,108,91,102,76
Arvcf,1377,1358,938,1730,1303,1069,1276,1565,1288,1198,1313,902
Comt,981,1237,929,1314,1227,989,955,1258,993,930,1069,674
Rtca,415,495,497,632,503,489,354,470,403,336,396,258
Dbt,437,453,414,454,454,395,304,426,320,296,325,247
Dazap2,2390,2931,2504,3307,2982,2642,1846,2607,2074,1794,2048,1475
Mcts1,311,334,281,406,363,324,244,355,276,263,331,211
Rem1,162,171,108,144,157,136,158,225,182,150,140,67
Rnf17,39,42,24,56,38,44,27,35,28,23,26,12
Trappc10,1072,1311,1147,1383,1175,1170,807,1218,920,860,991,626
Ccm2,749,871,670,1027,878,616,618,875,689,670,777,443
Wap,0,1,0,0,0,0,0,0,0,0,0,0
Tbrg4,416,451,405,495,394,313,354,507,401,285,391,234
Tmprss2,16,46,13,31,17,37,23,27,8,5,14,9
Mx1,293,400,221,469,344,193,99,171,135,127,125,106
Fap,1232,1076,1932,1202,1529,944,1208,1714,1761,1329,1726,939
Gcg,1,0,0,1,0,0,0,1,0,0,0,1
Ndufa9,865,860,711,1017,934,809,623,903,745,605,800,545
Egfl6,51,40,12,81,57,66,89,138,136,107,176,66
Lck,99,136,99,137,115,83,55,69,37,25,45,42
Tssk3,3,1,4,1,2,4,1,2,0,1,2,0
Cttnbp2,122,111,77,148,154,110,99,137,110,85,122,66
Galnt1,1496,1777,1464,2270,1812,1838,1284,1928,1508,1336,1619,984
Myf5,0,0,0,2,1,2,2,2,0,1,1,1
