	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Gnai3	1528.18197084546	0.06445678338313	0.0660210909424488	0.976305941980231	0.328912876258165	0.999680625307699
Cdc45	64.6879988376758	0.0148996036926833	0.230754007596915	0.0645692087771243	0.948517001367941	0.999680625307699
H19	15196.9412624899	0.135403330871179	0.215505436553326	0.628305870314667	0.529803586790724	0.999680625307699
Scml2	17.826999556915	-0.168266921068588	0.393828907517496	-0.427258938733725	0.669190736752374	0.999680625307699
Apoh	2.15032965082931	-0.211137695187305	1.16451241241967	-0.181309956798652	0.856124291156933	0.999680625307699
Narf	580.715056833599	-0.0576556171152298	0.0872170584716536	-0.661058950227821	0.508574509291924	0.999680625307699
Cav2	547.324403947664	0.0528178104413062	0.103223632315441	0.511683315695577	0.608872664783043	0.999680625307699
Klf6	1397.10149289118	-0.236729140114968	0.153901537579534	-1.53818567272357	0.124003223075427	0.999680625307699
Scmh1	737.07462304872	0.00779301852973717	0.0781006446785016	0.0997817439512419	0.920517601924605	0.999680625307699
Cox5a	371.732427915318	-0.0489052352955563	0.109615003157061	-0.446154576353777	0.655485591977295	0.999680625307699
Tbx2	539.251313911834	0.0152686396943512	0.132152749175001	0.115537813550379	0.908018850268462	0.999680625307699
Tbx4	4.64109554609563	0.430839423765766	0.791162942274998	0.544564717006187	0.586052926785608	0.999680625307699
Ngfr	251.575735364711	-0.172611094102463	0.200541734266248	-0.860724051948694	0.389390042918947	0.999680625307699
Wnt3	10.918169086982	-0.344524819946724	0.599693706112184	-0.574501310311025	0.565628614121945	0.999680625307699
Wnt9a	645.954780155828	-0.0843303112444282	0.197823112774912	-0.426291498811777	0.669895451705031	0.999680625307699
Fer	295.160207985539	-0.000952375030695671	0.113381533855083	-0.00839973669709687	0.99329805858456	0.999680625307699
Xpo6	1148.77781531237	-0.0531691425618564	0.0773946021136503	-0.686987736997213	0.492090456155313	0.999680625307699
Tfe3	874.780625170084	0.0186507935257134	0.076122867466864	0.2450090773818	0.80644940280605	0.999680625307699
Axin2	289.171207500131	-0.022880334842547	0.173341127538648	-0.131995996376829	0.894987458469768	0.999680625307699
Brat1	506.055283238875	-0.0254759956043315	0.0919649010778323	-0.27701868110281	0.78176576182553	0.999680625307699
Gna12	1394.58064638986	0.0297965511292527	0.0837852257551141	0.355630134796576	0.722117572820457	0.999680625307699
Slc22a18	218.905099803705	-0.0127397181165699	0.130109117390611	-0.0979156447455018	0.921999276973266	0.999680625307699
Itgb2l	64.5492242627326	0.338803569553394	0.786381923865944	0.430838450466659	0.666585839520075	0.999680625307699
Igsf5	4.01514333790243	0.945615665739113	0.978632318462324	0.966262454141011	0.333912868501036	0.999680625307699
Pih1d2	29.0283899269804	-0.407453954677517	0.357511050631435	-1.13969611277154	0.254412927209977	0.999680625307699
Dlat	832.851238153863	-0.100322605052938	0.0752937645669494	-1.33241584651719	0.182723577728004	0.999680625307699
Sdhd	970.858629841426	0.0242879434092015	0.0759006211032683	0.319996635813506	0.748970880813486	0.999680625307699
Fgf23	5.81163466693284	-0.274707688643994	1.02440021247358	-0.268164419822471	0.788572761118189	0.999680625307699
Ccnd2	1688.40752374154	-0.0496807024769226	0.119030161995281	-0.417379104960744	0.676401135932335	0.999680625307699
Gpr107	1260.66697884638	0.0439568191332814	0.0718029698996236	0.612186643459602	0.540414277502028	0.999680625307699
Nalcn	271.366410292252	-0.0167147881161929	0.162235120964603	-0.103028173041766	0.917940611075091	0.999680625307699
Btbd17	9.28772902781731	-0.0923096306313444	0.603658287382269	-0.152917027001551	0.878463708225641	0.999680625307699
Slfn4	122.638317219836	0.402176639204306	0.562948860685852	0.714410610431516	0.474973312851431	0.999680625307699
Th	32.084919368634	-0.268536574709722	0.392376284113467	-0.684385335154625	0.493731873805321	0.999680625307699
Ins2	18.9863212926896	-0.330026297776289	0.639052620905802	-0.516430552007604	0.60555373189986	0.999680625307699
Drp2	386.775105516775	0.00215611985852218	0.214323332798356	0.0100601265871072	0.991973315708285	0.999680625307699
Tspan32	79.3735877210637	-0.236807062272932	0.246116160162373	-0.962175998994543	0.335961203201733	0.999680625307699
Lhx2	20.8441872142143	0.241295452196128	0.496213497023207	0.486273456170908	0.626773296385628	0.999680625307699
Clec2g	3.03167124975432	-2.41964022270743	1.52113788796783	-1.59067776948214	0.111682112396837	0.999680625307699
Gmpr	345.59639156796	-0.0485886274399262	0.110040371694228	-0.441552738252653	0.658812890482843	0.999680625307699
Mid2	336.775747935266	0.0185392195508016	0.117564473009004	0.157694064170065	0.874697878075666	0.999680625307699
Trim25	823.530636720411	-0.249603699978672	0.0837327201994094	-2.98095773533024	0.00287348447637896	0.999680625307699
Dgke	561.233103169155	0.0984548896240414	0.116341182054696	0.846260007722412	0.397407712622812	0.999680625307699
Scpep1	1752.03477988389	0.014851139926864	0.0923023894563896	0.160896592323656	0.872174846269827	0.999680625307699
Mnt	728.96199058938	0.147661133911773	0.0916601114735526	1.61096393554331	0.107187583219083	0.999680625307699
Itgb2	818.453411255966	0.184224382818463	0.181900100205164	1.01277779732215	0.311166308108411	0.999680625307699
Hddc2	126.030594923438	0.0195201055822375	0.169114318940791	0.115425504501909	0.908107864394141	0.999680625307699
Tpd52l1	115.507626429195	-0.368484480307008	0.276857781206991	-1.3309522264484	0.183204730905077	0.999680625307699
Pemt	31.3468628573556	0.364974928285426	0.320414070452845	1.13907272477018	0.254672822636746	0.999680625307699
Cdh1	699.933550145416	-0.313967180949626	0.192472360567577	-1.63123255735929	0.102841257971728	0.999680625307699
Cdh4	40.5968733666674	-0.140283106312507	0.279775964282908	-0.501412287764126	0.616080993700554	0.999680625307699
Ckmt1	989.27112166128	-0.0288249610960103	0.102729200680133	-0.280591700365335	0.77902358255155	0.999680625307699
Bcl6b	223.792559601929	-0.39659757441267	0.194283838489319	-2.04133075348145	0.0412179622383083	0.999680625307699
Clec10a	676.338849716135	0.0324138577245176	0.167436938418579	0.193588452050441	0.846498141066437	0.999680625307699
Alox12	154.279156474132	-0.170012200775345	0.169162983677036	-1.00502011184628	0.31488716566687	0.999680625307699
Arvcf	1263.25005171823	0.000342980681681606	0.127684514681668	0.00268615722538238	0.997856759199383	0.999680625307699
Comt	1028.42207565915	0.0106341770155534	0.0758273151815122	0.140242035341721	0.888468760663796	0.999680625307699
Rtca	426.140364422865	-0.0349438055463699	0.106751129982878	-0.327338975727701	0.743411516367766	0.999680625307699
Dbt	369.58502138952	0.0148693770308519	0.109189151430627	0.136179985246054	0.891678997217393	0.999680625307699
Dazap2	2319.20953340123	-0.00716043243467506	0.0623991966752341	-0.114751997080068	0.908641698396711	0.999680625307699
Mcts1	302.719887095679	0.157947587229231	0.10149743153176	1.55617324345599	0.119666902029034	0.999680625307699
Rem1	147.401330825613	-0.402989028289168	0.196502822853554	-2.05080528837746	0.0402859123575294	0.999680625307699
Rnf17	31.2950409836324	-0.300876465611233	0.333588208176085	-0.901939751576636	0.367088873313664	0.999680625307699
Trappc10	1030.39625389993	0.0315652529184849	0.0735846715051524	0.42896505852139	0.667948653181319	0.999680625307699
